Citigroup Global Markets Asia Limited,GF Securities (Hong Kong) Brokerage Limited,1
Citigroup Global Markets Asia Limited,Huatai Financial Holdings (Hong Kong) Limited,2
Citigroup Global Markets Asia Limited,China International Capital Corporation Hong Kong Securities Limited,3
Citigroup Global Markets Asia Limited,Deutsche Bank AG,1
Citigroup Global Markets Asia Limited,Guotai Junan Securities (Hong Kong) Limited,1
Citigroup Global Markets Asia Limited,Haitong International Securities Company Limited,1
Citigroup Global Markets Asia Limited,CLSA Limited,1
GF Securities (Hong Kong) Brokerage Limited,Citigroup Global Markets Asia Limited,1
GF Securities (Hong Kong) Brokerage Limited,Huatai Financial Holdings (Hong Kong) Limited,5
GF Securities (Hong Kong) Brokerage Limited,China Securities (International) Corporate Finance Company Limited,2
GF Securities (Hong Kong) Brokerage Limited,CLSA Limited,8
GF Securities (Hong Kong) Brokerage Limited,China International Capital Corporation Hong Kong Securities Limited,6
GF Securities (Hong Kong) Brokerage Limited,CMB International Capital Limited,3
GF Securities (Hong Kong) Brokerage Limited,DBS Asia Capital Limited,1
GF Securities (Hong Kong) Brokerage Limited,The Hongkong and Shanghai Banking Corporation Limited,1
GF Securities (Hong Kong) Brokerage Limited,ICBC International Securities Limited,2
GF Securities (Hong Kong) Brokerage Limited,SDICS International Securities (Hong Kong) Limited,1
GF Securities (Hong Kong) Brokerage Limited,Yellow River Securities Limited,1
GF Securities (Hong Kong) Brokerage Limited,Ping An Securities (Hong Kong) Company Limited,1
GF Securities (Hong Kong) Brokerage Limited,ABCI Capital Limited,1
GF Securities (Hong Kong) Brokerage Limited,Haitong International Securities Company Limited,1
Huatai Financial Holdings (Hong Kong) Limited,Citigroup Global Markets Asia Limited,2
Huatai Financial Holdings (Hong Kong) Limited,GF Securities (Hong Kong) Brokerage Limited,5
Huatai Financial Holdings (Hong Kong) Limited,ABCI Capital Limited,5
Huatai Financial Holdings (Hong Kong) Limited,TFI Securities and Futures Limited,1
Huatai Financial Holdings (Hong Kong) Limited,China International Capital Corporation Hong Kong Securities Limited,12
Huatai Financial Holdings (Hong Kong) Limited,China Securities (International) Corporate Finance Company Limited,2
Huatai Financial Holdings (Hong Kong) Limited,CMB International Capital Limited,4
Huatai Financial Holdings (Hong Kong) Limited,CLSA Limited,9
Huatai Financial Holdings (Hong Kong) Limited,CCB International Capital Limited,5
Huatai Financial Holdings (Hong Kong) Limited,Deutsche Bank AG,4
Huatai Financial Holdings (Hong Kong) Limited,Goldman Sachs (Asia) L.L.C.,2
Huatai Financial Holdings (Hong Kong) Limited,BNP Paribas Securities (Asia) Limited,2
Huatai Financial Holdings (Hong Kong) Limited,Morgan Stanley Asia Limited,2
Huatai Financial Holdings (Hong Kong) Limited,The Hongkong and Shanghai Banking Corporation Limited,2
Huatai Financial Holdings (Hong Kong) Limited,Shenwan Hongyuan Securities (H.K.) Limited,1
Huatai Financial Holdings (Hong Kong) Limited,Haitong International Securities Company Limited,2
Huatai Financial Holdings (Hong Kong) Limited,Merrill Lynch (Asia Pacific) Limited,1
Huatai Financial Holdings (Hong Kong) Limited,UBS AG Hong Kong Branch,1
Huatai Financial Holdings (Hong Kong) Limited,BOCI Asia Limited,2
Huatai Financial Holdings (Hong Kong) Limited,Guotai Junan Securities (Hong Kong) Limited,3
Huatai Financial Holdings (Hong Kong) Limited,DBS Asia Capital Limited,1
Huatai Financial Holdings (Hong Kong) Limited,Zhongtai International Securities Limited,1
Huatai Financial Holdings (Hong Kong) Limited,China Galaxy International Securities (Hong Kong) Co. Limited,1
CCB International Capital Limited,Guotai Junan Securities (Hong Kong) Limited,3
CCB International Capital Limited,CLSA Limited,7
