ticker,company,type,date,bank_raw,bank_normalized,raw_role,is_sponsor,is_coordinator,is_bookrunner,is_lead_manager,is_lead
"3660","360 DigiTech, Inc. - S","Global offering","","Citigroup Global Markets Asia Limited","Citi","Joint Sponsors","Y","Y","Y","Y","Y"
"3660","360 DigiTech, Inc. - S","Global offering","","China International Capital Corporation Hong Kong Securities Limited","CICC","Joint Sponsors","Y","Y","Y","Y","Y"
"3660","360 DigiTech, Inc. - S","Global offering","","CCB International Capital Limited","CCB International","Joint Bookrunners","N","N","Y","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","","Futu Securities International (Hong Kong) Limited","Futu","Joint Bookrunners","N","N","Y","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","","Tiger Brokers (HK) Global Limited","Tiger Brokers","Joint Bookrunners","N","N","Y","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","","Livermore Holdings Limited","Livermore Holdings","Joint Lead Managers","N","N","N","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Guosen Securities (HK) Capital Co., Ltd.","Guosen","Sole Sponsor","Y","Y","Y","Y","Y"
"3601","360 Ludashi Holdings Limited","Global offering","","Macquarie Capital Limited","Macquarie","Financial Advisor","N","Y","Y","Y","Y"
"3601","360 Ludashi Holdings Limited","Global offering","","CCB International Capital Limited","CCB International","Joint Global Coordinators, Joint Bookrunners and Joint Lead Managers","N","Y","Y","Y","Y"
"3601","360 Ludashi Holdings Limited","Global offering","","Yue Xiu Securities Company Limited","Yue Xiu Securities Company","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Guotai Junan Securities (Hong Kong) Limited","Guotai Junan Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Lead Securities (HK) Limited","Lead Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Fortune (HK) Securities Limited","Fortune  Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Haitong International Securities Company Limited","Haitong","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","China Investment Securities International Brokerage Limited","China Investment Securities International Brokerage","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Guoyuan Securities Brokerage (Hong Kong) Limited","Guoyuan Securities Brokerage","Joint Lead Managers","N","N","N","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Zhongrong PT Securities Limited","Zhongrong PT Securities","Joint Lead Managers","N","N","N","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","","Zhongtai International Securities Limited","Zhongtai","Joint Lead Managers","N","N","N","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","China International Capital Corporation Hong Kong Securities Limited","CICC","Joint Sponsors","Y","Y","Y","Y","Y"
"1244","3D Medicines Inc. - B","Global offering","","China Securities (International) Corporate Finance Company Limited","China Securities","Joint Sponsors","Y","Y","Y","Y","Y"
"1244","3D Medicines Inc. - B","Global offering","","CNCB (Hong Kong) Capital Limited","CNCB  Capital","Joint Global Coordinators","N","Y","Y","Y","Y"
"1244","3D Medicines Inc. - B","Global offering","","CCB International Capital Limited","CCB International","Joint Bookrunners","N","N","Y","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Huarong International Securities Limited","Huarong International Securities","Joint Bookrunners","N","N","Y","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Livermore Holdings Limited","Livermore Holdings","Joint Bookrunners","N","N","Y","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","ABCI Capital Limited","ABCI","Joint Bookrunners","N","N","Y","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Tiger Brokers (HK) Global Limited","Tiger Brokers","Joint Bookrunners","N","N","Y","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","CSFG International Securities Limited","CSFG International Securities","Joint Lead Managers","N","N","N","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Lego Securities Limited","Lego Securities","Joint Lead Managers","N","N","N","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Valuable Capital Limited","Valuable Capital","Joint Lead Managers","N","N","N","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Futu Securities International (Hong Kong) Limited","Futu","Joint Lead Managers","N","N","N","Y","N"
"1244","3D Medicines Inc. - B","Global offering","","Victory Securities Company Limited","Victory Securities Company","Joint Lead Managers","N","N","N","Y","N"
"1530","3SBio Inc.","Global offering","","CITIC Securities Corporate Finance (HK) Limited","CITIC","Joint Sponsors","Y","Y","Y","Y","Y"
"1530","3SBio Inc.","Global offering","","Goldman Sachs (Asia) L.L.C.","Goldman Sachs","Joint Sponsors","Y","Y","Y","Y","Y"
"1530","3SBio Inc.","Global offering","","Morgan Stanley Asia Limited","Morgan Stanley","Joint Sponsors","Y","Y","Y","Y","Y"
"1530","3SBio Inc.","Global offering","","China International Capital Corporation Hong Kong Securities Limited","CICC","Joint Global Coordinators","N","Y","Y","Y","Y"
"1530","3SBio Inc.","Global offering","","China Merchants Securities (HK) Co., Limited","China Merchants Securities  Co.","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","Citigroup Global Markets Asia Limited","Citi","Joint Sponsors","Y","Y","Y","Y","Y"
"2051","51 Credit Card Inc.","Global offering","","China Merchants Securities (HK) Co., Limited","China Merchants Securities  Co.","Joint Sponsors","Y","Y","Y","Y","Y"
"2051","51 Credit Card Inc.","Global offering","","CLSA Limited","CITIC","Joint Global Coordinators","N","Y","Y","Y","Y"
"2051","51 Credit Card Inc.","Global offering","","ABCI Capital Limited","ABCI","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","BOCI Asia Limited","BOCI","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","BOCOM International Securities Limited","BOCOM International","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","CCB International Capital Limited","CCB International","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","China Everbright Securities (HK) Limited","CEB International","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","Haitong International Securities Company Limited","Haitong","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","Silk Road International Capital Limited","Silk Road International Capital","Joint Bookrunners","N","N","Y","Y","N"
"2051","51 Credit Card Inc.","Global offering","","Futu Securities International (Hong Kong) Limited","Futu","Joint Lead Managers","N","N","N","Y","N"
"797","7Road Holdings Limited","Global offering","","GF Capital (Hong Kong) Limited","GF Securities","Joint Sponsors","Y","Y","Y","Y","Y"
"797","7Road Holdings Limited","Global offering","","CCB International Capital Limited","CCB International","Joint Sponsors","Y","Y","Y","Y","Y"
"797","7Road Holdings Limited","Global offering","","Haitong International Securities Company Limited","Haitong","Joint Global Coordinators, Joint Bookrunners and Joint Lead Managers","N","Y","Y","Y","Y"
"797","7Road Holdings Limited","Global offering","","AMTD Global Markets Limited","AMTD Global Markets","Joint Global Coordinators, Joint Bookrunners and Joint Lead Managers","N","Y","Y","Y","Y"
"797","7Road Holdings Limited","Global offering","","CMB International Capital Limited","CMB International","Joint Bookrunner and Joint Lead Manager","N","N","Y","Y","N"
"797","7Road Holdings Limited","Global offering","","First Shanghai Securities Limited","First Shanghai Securities","Joint Lead Managers","N","N","N","Y","N"
"797","7Road Holdings Limited","Global offering","","Zhongtai International Securities Limited","Zhongtai","Joint Lead Managers","N","N","N","Y","N"
"797","7Road Holdings Limited","Global offering","","Head & Shoulders Securities Limited","Head & Shoulders Securities","Joint Lead Managers","N","N","N","Y","N"
"797","7Road Holdings Limited","Global offering","","Futu Securities International (Hong Kong) Limited","Futu","Joint Lead Managers","N","N","N","Y","N"
"797","7Road Holdings Limited","Global offering","","Valuable Capital Limited","Valuable Capital","Joint Lead Managers","N","N","N","Y","N"
"1737","A & S Group (Holdings) Limited","Global offering","","Frontpage Capital Limited","Frontpage Capital","Sole Sponsor","Y","N","Y","Y","Y"
"1737","A & S Group (Holdings) Limited","Global offering","","Pacific Foundation Securities Limited","Pacific Foundation Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"1737","A & S Group (Holdings) Limited","Global offering","","Aristo Securities Limited","Aristo Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"1737","A & S Group (Holdings) Limited","Global offering","","Koala Securities Limited","Koala Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"1737","A & S Group (Holdings) Limited","Global offering","","Ruibang Securities Limited","Ruibang Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3319","A-Living Services Co., Ltd.","Global offering","","HSBC Corporate Finance (Hong Kong) Limited","HSBC","Joint Sponsors","Y","Y","Y","Y","Y"
"3319","A-Living Services Co., Ltd.","Global offering","","Huatai Financial Holdings (Hong Kong) Limited","Huatai","Joint Sponsors","Y","Y","Y","Y","Y"
"3319","A-Living Services Co., Ltd.","Global offering","","Morgan Stanley Asia Limited","Morgan Stanley","Joint Global Coordinators","N","Y","Y","Y","Y"
"3319","A-Living Services Co., Ltd.","Global offering","","BNP Paribas Securities (Asia) Limited","BNP Paribas","Joint Bookrunners","N","N","Y","Y","N"
"3319","A-Living Services Co., Ltd.","Global offering","","ABCI Capital Limited","ABCI","Joint Bookrunners","N","N","Y","Y","N"
"3319","A-Living Services Co., Ltd.","Global offering","","CCB International Capital Limited","CCB International","Joint Bookrunners","N","N","Y","Y","N"
"3319","A-Living Services Co., Ltd.","Global offering","","ICBC International Capital Limited","ICBC International","Joint Bookrunners","N","N","Y","Y","N"
"3319","A-Living Services Co., Ltd.","Global offering","","China Securities (International) Corporate Finance Company Limited","China Securities","Joint Bookrunners","N","N","Y","Y","N"
"1615","AB Builders Group Limited","Global offering","","Southwest Securities (HK) Capital Limited","Southwest Securities  Capital","Sole Sponsor","Y","N","N","N","Y"
"1615","AB Builders Group Limited","Global offering","","Southwest Securities (HK) Brokerage Limited","Southwest Securities  Brokerage","Joint Global Coordinators","N","Y","Y","Y","Y"
"1615","AB Builders Group Limited","Global offering","","Sinolink Securities (Hong Kong) Company Limited","Sinolink Securities  Company","Joint Global Coordinators","N","Y","Y","Y","Y"
"1615","AB Builders Group Limited","Global offering","","China Investment Securities International Brokerage Limited","China Investment Securities International Brokerage","Joint Global Coordinators","N","Y","Y","Y","Y"
"1615","AB Builders Group Limited","Global offering","","Haitong International Securities Company Limited","Haitong","Joint Bookrunners","N","N","Y","Y","N"
"1615","AB Builders Group Limited","Global offering","","BMI Securities Limited","BMI Securities","Joint Lead Managers","N","N","N","Y","N"
"2256","Abbisko Cayman Limited - B","Global offering","","Morgan Stanley Asia Limited","Morgan Stanley","Joint Sponsors","Y","Y","Y","Y","Y"
"2256","Abbisko Cayman Limited - B","Global offering","","J.P. Morgan Securities (Far East) Limited","J.P. Morgan","Joint Sponsors","Y","N","Y","Y","Y"
"2256","Abbisko Cayman Limited - B","Global offering","","China International Capital Corporation Hong Kong Securities Limited","CICC","Joint Global Coordinators","N","Y","Y","Y","Y"
