company,oc_date,sponsors,others,document_url
"AutoAI (Nanjing) Technology Co., Ltd.","10/07/2025","CLSA","CMB; SBI","https://www1.hkexnews.hk/app/sehk/2025/107497/documents/sehk25071000873.pdf"
"Qingdao Gon Technology Co., Ltd.","10/07/2025","CMS","CICC; CLSA","https://www1.hkexnews.hk/app/sehk/2025/107485/documents/sehk25071000925.pdf"
"Intsig Information Co., Ltd.","09/07/2025","CICC","CLSA","https://www1.hkexnews.hk/app/sehk/2025/107479/documents/sehk25070900940.pdf"
"Shanghai Longcheer Technology Co., Ltd.","09/07/2025","Citi; Haitong; Guotai Junan","Huatai","https://www1.hkexnews.hk/app/sehk/2025/107505/documents/sehk25070900720.pdf"
"Shanghai Sunmi Technology Co., Ltd.","09/07/2025","Deutsche Bank; CLSA; ABCI","CMB","https://www1.hkexnews.hk/app/sehk/2025/107476/documents/sehk25070900840.pdf"
"Viewtrix Technology Co., Ltd.","09/07/2025","CICC; CLSA","GF Securities","https://www1.hkexnews.hk/app/sehk/2025/107480/documents/sehk25070900900.pdf"
"EACON Group Co., Ltd","08/07/2025","Haitong","CLSA; Macquarie","https://www1.hkexnews.hk/app/sehk/2025/107473/documents/sehk25070801179.pdf"
"MegaRobo Technologies Limited","08/07/2025","","ABCI; BOCI Asia; Morgan Stanley; Huatai; Deutsche Bank AG; CCB","https://www1.hkexnews.hk/app/sehk/2025/107477/documents/sehk25070800006.pdf"
"Zhejiang Galaxis Technology Group Co., Ltd.","08/07/2025","Guotai Junan; CLSA","CMB","https://www1.hkexnews.hk/app/sehk/2025/107475/documents/sehk25070800286.pdf"
"LXJ International Holdings Limited","07/07/2025","CICC; Haitong","Guoyuan","https://www1.hkexnews.hk/app/sehk/2025/107527/documents/sehk25070701743.pdf"
"Shenzhen Senior Technology Material Co., Ltd.","07/07/2025","","China Securities","https://www1.hkexnews.hk/app/sehk/2025/107526/documents/sehk25070701489.pdf"
"Standard Robots (Wuxi) Co., Ltd.","07/07/2025","CLSA; Guotai Junan","China Securities","https://www1.hkexnews.hk/app/sehk/2025/107470/documents/sehk25070701513.pdf"
"Weichai Lovol Intelligent Agricultural Technology Co., Ltd.","04/07/2025","CICC","Huatai; DBS; Zhongtai","https://www1.hkexnews.hk/app/sehk/2025/107465/documents/sehk25070401319.pdf"
"MeiG Smart Technology Co., Ltd.","03/07/2025","CICC","BNP Paribas","https://www1.hkexnews.hk/app/sehk/2025/107455/documents/sehk25070300016.pdf"
"Shenzhen Cheng-Tech Co., Ltd.","03/07/2025","Guotai Junan","Guosen Securities Capital","https://www1.hkexnews.hk/app/sehk/2025/107468/documents/sehk25070302264.pdf"
"WeiMai Inc.","03/07/2025","","CMS; Deutsche Bank","https://www1.hkexnews.hk/app/sehk/2025/107488/documents/sehk25062700428.pdf"
"Guangzhou Shiyuan Electronic Technology Company Limited","02/07/2025","CICC; GF Securities","CMB; Huatai","https://www1.hkexnews.hk/app/sehk/2025/107451/documents/sehk25070202119.pdf"
"Micro Connect International Finance Company Limited","02/07/2025","The Hongkong and Shanghai Banking","CICC; Deutsche Bank","https://www1.hkexnews.hk/app/sehk/2025/107459/documents/sehk25070203652.pdf"
"Shenzhen Zhaowei Machinery & Electronics Co., Ltd.","02/07/2025","CMS; Deutsche Bank","CLSA; Deutsche Bank AG","https://www1.hkexnews.hk/app/sehk/2025/107456/documents/sehk25070204098.pdf"
"Yusys Technologies Co., Ltd.","02/07/2025","BNP Paribas; Huatai","China Galaxy","https://www1.hkexnews.hk/app/sehk/2025/107460/documents/sehk25070204086.pdf"
"Nations Technologies Inc.","01/07/2025","","CLSA; BOCOM","https://www1.hkexnews.hk/app/sehk/2025/107482/documents/sehk25070100063.pdf"
