ticker,company,company_cn,type,date,shares,price_hkd,size_hkdm,sponsors,others,prospectus_url
"3660","360 DigiTech, Inc.","360數科","Global offering","18/11/2022","5540000","88.8","491.952","Citi; CICC","CCB; Futu; Tiger Brokers; Livermore Holdings","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1118/2022111800021.pdf"
"3601","360 Ludashi Holdings Limited","魯大師控股有限公司","Global offering","26/09/2019","60000000","3","180","Guosen","Macquarie; CCB; Yue Xiu; Guotai Junan; Lead Securities; Fortune; Haitong; China Investment Securities; Guoyuan Securities Brokerage; Zhongrong PT Securities; Zhongtai","https://www1.hkexnews.hk/listedco/listconews/sehk/2019/0926/ltn20190926033.pdf"
"1244","3D Medicines Inc.","思路迪醫藥股份有限公司","Global offering","29/11/2022","16350000","26.24","429.024","CICC; China Securities","CNCB Capital; CCB; Huarong International Securities; Livermore Holdings; ABCI; Tiger Brokers; CSFG International Securities; Lego; Valuable Capital; Futu; Victory Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2022/1129/2022112900013.pdf"
"1530","3SBio Inc.","三生製藥控股有限公司","Global offering","01/06/2015","606100000","9.1","5515.51","CITIC; Goldman Sachs; Morgan Stanley","CICC; CMB","https://www1.hkexnews.hk/listedco/listconews/sehk/2015/0601/ltn20150601155.pdf"
"2051","51 Credit Card Inc.","信用卡有限公司","Global offering","29/06/2018","118703000","11.5","1365.0845","Citi; CMB","CITIC; ABCI; Bank of China; BOCOM; CCB; CEB; Haitong; Silk Road International Capital; Futu","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0629/ltn20180629027.pdf"
"797","7Road Holdings Limited","第七大道控股有限公司","Global offering","29/06/2018","666680000","2.22","1480.0296000000003","GF Securities; CCB","Haitong; AMTD; CMB; First Shanghai; Zhongtai; Head & Shoulders Securities; Futu; Valuable Capital","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0629/ltn20180629045.pdf"
"1737","A & S Group (Holdings) Limited","亞洲實業集團","Global offering","28/02/2018","250000000","0.5","125","Frontpage Capital","Pacific Foundation Securities; Aristo Securities; Koala Securities; Ruibang Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0228/ltn20180228017.pdf"
"3319","A-Living Services Co., Ltd.","雅生活智慧城市服務股份有限公司","Global offering","29/01/2018","333334000","14.2","4733.3428","HSBC; Huatai","Morgan Stanley; BNP Paribas; ABCI; CCB; ICBC; China Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0129/ltn20180129009.pdf"
"1615","AB Builders Group Limited","奧邦建築集團有限公司","Global offering","27/08/2018","150000000","0.78","117","Southwest Securities","Sinolink Securities; China Investment Securities; Haitong; BMI Securities","https://www1.hkexnews.hk/listedco/listconews/sehk/2018/0827/ltn20180827017.pdf"
"2256","Abbisko Cayman Limited","和譽開曼有限責任公司","Global offering","30/09/2021","140736000","12.46","1753.5705600000003","Morgan Stanley","CICC; China Industrial Securities; Haitong; HSBC; Huatai","https://www1.hkexnews.hk/listedco/listconews/sehk/2021/0930/2021093000017.pdf"
