ticker,company,type,date,bank_raw,bank_normalized,raw_role,is_sponsor,is_coordinator,is_bookrunner,is_lead_manager,is_lead
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Citigroup Global Markets Asia Limited","Citi","Joint Sponsors","Y","Y","Y","Y","Y"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","China International Capital Corporation Hong Kong Securities Limited","CICC","Joint Sponsors","Y","Y","Y","Y","Y"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","CCB International Capital Limited","CCB International","Joint Bookrunners","N","N","Y","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Futu Securities International (Hong Kong) Limited","Futu","Joint Bookrunners","N","N","Y","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Tiger Brokers (HK) Global Limited","Tiger Brokers","Joint Bookrunners","N","N","Y","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Livermore Holdings Limited","Livermore Holdings","Joint Lead Managers","N","N","N","Y","N"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Citigroup Global Markets Limited","Citi","Fallback extraction","N","N","N","N","N"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Guotai Junan Capital Limited","Guotai Junan Capital","Fallback extraction","N","N","N","N","N"
"3660","360 DigiTech, Inc. - S","Global offering","18/11/2022","Future VIPKID Limited","Future VIPKID","Fallback extraction","N","N","N","N","N"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Guosen Securities (HK) Capital Co., Ltd.","Guosen","Sole Sponsor","Y","Y","Y","Y","Y"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Macquarie Capital Limited","Macquarie","Financial Advisor","N","Y","Y","Y","Y"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","CCB International Capital Limited","CCB International","Joint Global Coordinators, Joint Bookrunners and Joint Lead Managers","N","Y","Y","Y","Y"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Yue Xiu Securities Company Limited","Yue Xiu Securities Company","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Guotai Junan Securities (Hong Kong) Limited","Guotai Junan Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Lead Securities (HK) Limited","Lead Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Fortune (HK) Securities Limited","Fortune  Securities","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
"3601","360 Ludashi Holdings Limited","Global offering","26/09/2019","Haitong International Securities Company Limited","Haitong","Joint Bookrunners and Joint Lead Managers","N","N","Y","Y","N"
